Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
87	1.4937289	0.14184059	1.6484143	1.2265503	500.0	0.13335127	0.11420991	0.5716152	-0.04915549	440000	1.9380451e-08	0.0057345317	0.009959532	-0.0029552171	0.7848444	0.021746378	0.23	1.0	456.58928418159485
88	1.3565526	0.1634124	1.6202658	1.0940983	500.0	0.1773167	0.1191548	0.6081168	0.029135339	445000	-9.05931e-08	0.0041231285	0.009326082	-0.000716727	0.78467995	0.023561347	0.2518	1.0	461.21994495391846
89	1.3082497	0.2229856	1.6376517	0.77850974	500.0	0.15593743	0.10893597	0.57670027	0.015496463	450000	5.502701e-08	0.004009654	0.0076913177	-0.0010004849	0.78451765	0.020676576	0.2108	1.0	465.81398034095764
90	1.321299	0.10341592	1.4771315	1.1422284	500.0	0.13740338	0.1127069	0.6039207	-0.033867516	455000	8.8721514e-08	0.002741646	0.0052230214	-0.00036618183	0.78434294	0.016735515	0.1276	1.0	470.48590087890625
91	1.311438	0.17276429	1.6666579	1.116095	500.0	0.1463798	0.11028559	0.5866907	-0.015038811	460000	-3.6385657e-08	0.003602234	-0.0014364492	-0.00044915313	0.78419423	0.015550587	0.1732	2.0	475.1784076690674
92	1.3501794	0.13836288	1.5600512	1.143928	500.0	0.14497629	0.09973077	0.5798692	-0.015244067	465000	-1.4454127e-08	0.0033707202	0.006806668	-0.000540124	0.7838481	0.01504982	0.1832	1.0	480.0655789375305
93	1.4004132	0.07799468	1.5201819	1.2703559	500.0	0.14363682	0.11203746	0.62655276	-0.0017703548	470000	-4.042387e-08	0.0027367263	0.0060098884	-0.00035632844	0.78367877	0.01729663	0.229	2.0	484.7437560558319
94	1.4091033	0.1610766	1.7276564	1.1343764	500.0	0.15721329	0.10922214	0.6080015	0.005277373	475000	1.083374e-07	0.0030474258	0.026997278	-0.00012379652	0.7833206	0.05012039	0.4322	2.0	489.3426477909088
95	1.3120306	0.21546142	1.7275306	0.94466513	500.0	0.15808684	0.10811392	0.60789925	0.00047955662	480000	3.439784e-08	0.0035246143	0.03622816	-0.000255876	0.7829304	0.04441264	0.4018	1.0	494.02935457229614
96	1.4699821	0.09011746	1.6002631	1.294541	500.0	0.1451905	0.1080228	0.58260405	0.00268545	485000	3.6515295e-09	0.0031331903	0.029719714	-0.00091573386	0.7827506	0.053629432	0.3966	1.0	498.69822692871094
